1,9999,0,0,1,0,0,0,0
2,9998,1,0,1,0,0,0,0
3,9998,1,0,1,0,0,0,0
4,9998,1,0,1,0,0,0,0
5,9995,4,0,1,0,0,0,0
6,9993,5,0,2,0,0,0,0
7,9992,6,0,2,0,0,0,0
8,9990,8,0,1,1,0,0,0
9,9990,5,0,4,1,0,0,0
10,9982,11,2,4,1,0,0,0
11,9979,13,2,5,1,0,0,0
12,9975,15,4,5,1,0,0,0
13,9971,19,4,4,2,0,0,0
14,9969,13,8,8,2,0,0,0
15,9957,22,6,13,2,0,0,0
16,9951,24,9,11,5,0,0,0
17,9936,35,9,15,5,0,0,0
18,9927,42,11,14,6,0,0,0
19,9919,38,12,24,7,0,0,0
20,9898,53,14,28,7,0,0,0
21,9884,52,14,37,13,0,0,0
22,9853,74,15,39,19,0,0,0
23,9829,90,15,45,21,0,0,0
24,9802,96,11,64,27,0,0,0
25,9773,111,14,74,28,0,0,0
26,9737,116,19,88,40,0,0,0
27,9682,147,21,105,45,0,0,0
28,9624,178,29,110,59,0,0,0
29,9572,201,35,126,66,0,0,0
30,9511,226,39,148,76,0,0,0
31,9439,243,43,172,103,0,0,0
32,9353,271,58,203,115,0,0,0
33,9260,312,63,222,143,0,0,0
34,9158,353,72,251,166,0,0,0
35,9023,416,90,282,189,0,0,0
36,8876,477,110,320,217,0,0,0
37,8725,535,113,369,258,0,0,0
38,8542,616,128,400,314,0,0,0
39,8344,679,157,453,367,0,0,0
40,8136,740,160,539,425,0,0,0
41,7903,822,172,611,492,0,0,0
42,7635,907,195,711,552,0,0,0
43,7310,1034,223,809,624,0,0,0
44,7003,1133,243,894,727,0,0,0
45,6670,1233,289,986,822,0,0,0
46,6304,1331,316,1113,936,0,0,0
47,5922,1388,354,1250,1086,0,0,0
48,5484,1519,388,1372,1237,0,0,0
49,5014,1656,427,1483,1420,0,0,0
50,4549,1755,460,1623,1613,0,0,0
51,4092,1830,479,1788,1811,0,0,0
52,3605,1879,526,1965,2025,0,0,0
53,3105,1909,570,2123,2293,0,0,0
54,2625,1924,594,2246,2611,0,0,0
55,2177,1915,609,2390,2909,0,0,0
56,1785,1820,659,2519,3217,0,0,0
57,1430,1675,677,2642,3576,0,0,0
58,1104,1521,699,2701,3975,0,0,0
59,842,1335,708,2733,4382,0,0,0
60,608,1177,708,2686,4821,0,0,0
61,431,999,679,2608,5283,0,0,0
62,281,823,626,2519,5751,0,0,0
63,195,647,536,2404,6218,0,0,0
64,138,470,462,2216,6714,0,0,0
65,76,355,398,2009,7162,0,0,0
66,48,233,330,1794,7595,0,0,0
67,24,171,256,1570,7979,0,0,0
68,17,121,199,1343,8320,0,0,0
69,13,63,155,1124,8645,0,0,0
70,8,40,101,900,8951,0,0,0
71,7,17,66,703,9207,0,0,0
72,4,13,46,539,9398,0,0,0
73,4,9,35,388,9564,0,0,0
74,3,5,16,293,9683,0,0,0
75,2,5,10,213,9770,0,0,0
76,1,3,2,142,9852,0,0,0
77,0,4,0,93,9903,0,0,0
78,0,3,0,57,9940,0,0,0
79,0,2,1,41,9956,0,0,0
80,0,1,1,29,9969,0,0,0
81,0,0,1,17,9982,0,0,0
82,0,0,1,13,9986,0,0,0
83,0,0,1,4,9995,0,0,0
84,0,0,0,3,9997,0,0,0
85,0,0,0,2,9998,0,0,0
86,0,0,0,2,9998,0,0,0
87,0,0,0,1,9999,0,0,0
88,0,0,0,0,10000,0,0,0
